0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
1.0,0.0,-1.0,-4.0,-5.0,3.0,-3.0,-5.340000000000003,2.0,-1.0,1.0,9.0,1.0,1.0,-3.0,9.670000000000002,2.0,2.0,1.0,3.0,0.0,1.0,-1.0,8.829999999999998,-4.0,-1.0,-1.0,-2.0,-2.0,-3.0,-3.0,7.170000000000002,-6.0,8.0,-1.0,-1.0,1.0,-4.0,3.0,3.8299999999999983,1.0,2.0,1.0,-1.0,0.0,0.0,1.0,8.0,0.0,2.0,2.0,-1.0,4.0,-1.0,2.0,11.329999999999998,-7.0,-6.0,0.0,-12.0,6.0,-1.0,0.0,10.5,1.0,1.0
2.0,-1.0,-3.0,-4.0,-6.0,-4.0,-3.0,-6.170000000000002,2.0,0.0,2.0,12.0,0.0,1.0,-4.0,10.5,2.0,-2.0,2.0,1.0,-1.0,1.0,-1.0,7.170000000000002,-2.0,0.0,2.0,0.0,2.0,2.0,0.0,11.340000000000003,-5.0,6.0,0.0,-2.0,0.0,-1.0,4.0,6.329999999999998,-4.0,0.0,-1.0,0.0,0.0,-3.0,-9.0,3.8299999999999983,-4.0,2.0,-10.0,-1.0,0.0,1.0,1.0,10.5,-3.0,1.0,-2.0,-2.0,5.0,-1.0,-1.0,12.159999999999997,1.0,1.0
1.0,1.0,-2.0,-3.0,-5.0,-1.0,-4.0,-7.0,4.0,1.0,1.0,11.0,2.0,1.0,-3.0,11.329999999999998,0.0,-2.0,-2.0,3.0,1.0,1.0,0.0,6.340000000000003,-6.0,0.0,0.0,1.0,1.0,1.0,-2.0,11.340000000000003,-3.0,6.0,1.0,-6.0,2.0,-2.0,3.0,3.0,-4.0,1.0,0.0,0.0,0.0,-3.0,0.0,7.170000000000002,-2.0,0.0,0.0,1.0,2.0,0.0,0.0,8.0,-3.0,-1.0,0.0,0.0,7.0,-1.0,0.0,8.0,1.0,1.0
2.0,1.0,-6.0,-3.0,-4.0,-2.0,-1.0,-11.170000000000002,-1.0,-1.0,1.0,7.0,0.0,0.0,-5.0,2.1599999999999966,2.0,6.0,-3.0,3.0,-2.0,0.0,-1.0,4.670000000000002,-4.0,1.0,0.0,-3.0,0.0,2.0,-2.0,2.1700000000000017,-2.0,20.0,3.0,-3.0,1.0,3.0,5.0,2.1599999999999966,-5.0,1.0,0.0,0.0,1.0,1.0,4.0,13.829999999999998,1.0,1.0,2.0,2.0,1.0,-1.0,1.0,3.0,-1.0,-3.0,0.0,-1.0,5.0,0.0,-1.0,2.1700000000000017,1.0,1.0
0.0,2.0,-4.0,-1.0,-3.0,0.0,-3.0,-12.0,-1.0,0.0,1.0,5.0,1.0,1.0,-2.0,1.3299999999999983,1.0,-2.0,-2.0,1.0,-1.0,6.0,-1.0,5.5,-5.0,1.0,0.0,-2.0,-2.0,1.0,-2.0,-3.6599999999999966,-5.0,9.0,-1.0,-4.0,1.0,3.0,7.0,3.0,-6.0,1.0,0.0,1.0,3.0,0.0,2.0,4.670000000000002,-1.0,-1.0,1.0,1.0,1.0,1.0,-2.0,3.0,-5.0,-3.0,-1.0,0.0,4.0,0.0,-1.0,6.340000000000003,1.0,1.0
1.0,2.0,-4.0,-2.0,-4.0,-3.0,-4.0,-12.840000000000003,1.0,1.0,2.0,9.0,0.0,1.0,-5.0,1.3299999999999983,4.0,-2.0,-1.0,-1.0,0.0,1.0,-1.0,4.670000000000002,-2.0,1.0,0.0,-3.0,0.0,0.0,-6.0,-1.1700000000000017,-4.0,12.0,3.0,0.0,2.0,2.0,7.0,16.33,-5.0,3.0,1.0,0.0,2.0,1.0,0.0,12.170000000000002,-1.0,1.0,2.0,0.0,2.0,0.0,1.0,3.8299999999999983,-3.0,-5.0,1.0,0.0,4.0,0.0,0.0,0.5,1.0,1.0
2.0,1.0,-3.0,0.0,-5.0,3.0,-4.0,-13.659999999999997,1.0,-2.0,1.0,7.0,0.0,-1.0,-5.0,2.1599999999999966,2.0,-1.0,-1.0,1.0,-2.0,2.0,-1.0,0.5,-5.0,0.0,-1.0,0.0,-1.0,1.0,-3.0,-3.6599999999999966,-2.0,6.0,2.0,-1.0,1.0,4.0,6.0,8.0,-5.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.5,-2.0,0.0,2.0,1.0,-1.0,1.0,0.0,2.1700000000000017,-4.0,-3.0,-1.0,-3.0,5.0,0.0,-1.0,0.5,1.0,1.0
0.0,2.0,-3.0,-2.0,-5.0,-3.0,-2.0,-13.670000000000002,1.0,-1.0,1.0,11.0,0.0,-1.0,-7.0,7.170000000000002,3.0,-2.0,-8.0,1.0,-2.0,1.0,0.0,3.8400000000000034,-2.0,2.0,0.0,-1.0,-2.0,1.0,-2.0,18.83,-2.0,10.0,-1.0,-5.0,1.0,-3.0,5.0,4.659999999999997,-7.0,4.0,0.0,0.0,0.0,-1.0,-1.0,12.159999999999997,0.0,3.0,3.0,2.0,1.0,1.0,0.0,4.670000000000002,-1.0,-2.0,0.0,0.0,3.0,2.0,-3.0,2.1599999999999966,1.0,1.0
3.0,2.0,-4.0,-2.0,-5.0,-3.0,-4.0,-15.340000000000003,1.0,0.0,1.0,8.0,1.0,1.0,-1.0,-0.3299999999999983,1.0,1.0,-9.0,1.0,1.0,1.0,1.0,-4.5,-3.0,1.0,-1.0,-6.0,2.0,-2.0,-3.0,6.329999999999998,-2.0,6.0,2.0,-5.0,1.0,2.0,6.0,12.170000000000002,-4.0,3.0,-2.0,-1.0,1.0,-1.0,0.0,13.829999999999998,0.0,2.0,1.0,-1.0,1.0,0.0,-1.0,2.1599999999999966,-4.0,-3.0,10.0,-2.0,4.0,0.0,-1.0,-0.3299999999999983,1.0,1.0
-1.0,2.0,-3.0,-3.0,-6.0,-2.0,-4.0,-13.659999999999997,2.0,-3.0,0.0,11.0,-1.0,-1.0,-3.0,3.8299999999999983,2.0,-1.0,0.0,0.0,-1.0,-3.0,0.0,-5.340000000000003,-4.0,2.0,1.0,-2.0,-1.0,3.0,2.0,-2.8299999999999983,-3.0,10.0,2.0,-2.0,1.0,2.0,7.0,-1.1599999999999966,-4.0,4.0,-1.0,-1.0,3.0,2.0,1.0,9.670000000000002,-3.0,-1.0,1.0,0.0,2.0,0.0,1.0,3.0,-3.0,-4.0,-1.0,-1.0,5.0,0.0,0.0,4.670000000000002,1.0,1.0
